Dataset #,Dataset Name,Perspective,Sample Size,Key Variables,Data Type,RQ Relevance,Real Data?
1,Top 100 SaaS Companies (Kaggle),Seller (Company Performance),100 companies,"Company_name, Valuation, ARR, Growth_rate, Employees, Industry, Founding_year",Firm Financial Data,RQ3 (Firm-level),Yes
2,G2 Software Reviews Dataset,User (B2B Software Buyer),"1.9M+ reviews, 37K products","Overall_rating, Ease_of_use, Implementation, Features, Support, Value, Review_text, Role, Company_size, Industry",Reviews + Ratings,"RQ1, RQ2, RQ3",Yes
3,Capterra Software Reviews Dataset,User (B2B Software Buyer),"2M+ reviews, 36K products","Overall_rating, Ease_of_use, Features, Support, Value, Review_text, Reviewer_role, Company_size, Industry",Reviews + Ratings,"RQ1, RQ2, RQ3",Yes
4,AWS SaaS Sales Dataset (EXCLUDED),N/A (EXCLUDED - Fictitious),N/A (Fictitious),N/A (EXCLUDED),Transactional (Fictitious),None (EXCLUDED),No (EXCLUDED)
5,Mendeley SaaS Customer Experience Survey,User (SaaS Customer),50 SaaS users,"Response_time, Chat_satisfaction, Agent_knowledge, AI_integration, Industry, Company_size",Survey (Mixed methods),"RQ1, RQ2",Yes
6,ACSI (American Customer Satisfaction Index),User (Consumer),"8,239 (2015); 400K annually","SATIS, CONFIRM, IDEAL, OVERALL, CUSTOM, WRONG, PQ, QP, COMP, HANDLE, REPUR, AGE, EDUCAT, INCOME, GENDER",Survey (Likert 1-10),RQ1 (Consumer baseline),Yes
7,Chrome User Experience Report (CrUX),User (Web Visitor),Millions (daily),"LCP, INP, CLS, FCP, TTFB, Device_type, Connection_type",Real User Monitoring,RQ1 (Performance baseline),Yes
8,Mendeley UI/UX User Interaction Dataset,User (Digital Platform User),"2,271 respondents","UI_preference, UX_satisfaction, Platform_type, Ease_of_use, Feature_clarity",Survey (Likert),RQ1 (Consumer baseline),Yes
9,Customer Satisfaction Records (10K+),User (Customer),"10,000+ records","Satisfaction_score, Loyalty, Likelihood_to_renew, Complaint, Service_quality, Resolution_time",Survey/CRM Data,"RQ2, RQ3",Yes
10,e-CRM Dataset (Mendeley),User (E-commerce Consumer),485 respondents,"Trust_score, Service_quality, Loyalty, Online_shopping, Demographics",Survey (Likert),RQ1 (Consumer baseline),Yes
11,HG Insights CRM Market Report,Seller (Market Intelligence),1.4M companies tracked,"Market_size, Adoption_rate, Company_count, Purchasing_criteria, Buyer_profile, Implementation_time",Market Intelligence,"RQ1, RQ3",Yes
12,HG Insights ERP Market Report,Seller (Market Intelligence),3.8M companies tracked,"Market_size, Adoption_rate, Company_count, Complexity_barriers, Implementation_challenges",Market Intelligence,"RQ1, RQ3",Yes
13,Gartner Magic Quadrant CRM 2024,Seller (Analyst Evaluation),20-30 vendors evaluated,"Vendor_positioning, Capability_scores, UX_weight_in_evaluation, Market_presence",Analyst Evaluation,RQ1 (UX weighting),Yes
14,Gartner Magic Quadrant Data Catalogs Q3 2024,Seller (Analyst Evaluation),12 vendors evaluated,"Vendor_positioning, Ease_of_use_criteria, Implementation, Capability_matrix",Analyst Evaluation,RQ1 (UX criteria),Yes
15,Forrester Wave Enterprise Architecture,Seller (Analyst Evaluation),Varies,"Vendor_positioning, Feature_completeness, Ease_of_deployment, Market_momentum",Analyst Evaluation,RQ1 (UX emphasis),Yes
16,Stack Overflow Developer Survey 2025,User (Developer),"49,000+ developers","Programming_languages, Tools_used, AI_adoption, Satisfaction, Frustration, Want_to_use, Salary",Survey (Multiple),"RQ1, RQ2",Yes
17,Stack Overflow Developer Survey 2024,User (Developer),"65,000+ developers","Tools_used, Satisfaction_ratings, IDE_preference, Framework_adoption",Survey (Multiple),"RQ1, RQ2",Yes
18,Stack Overflow 2025 AI Section,User (Developer),Subset of 49K,"GenAI_usage, AI_frustration_level, Tool_adoption_for_AI, Use_cases",Survey (Categorical),"RQ1, RQ2",Yes
19,IDC SME AI Adoption Forecast,Seller (Market Forecast),SME population survey,"SME_budget_adjustment, AI_priority, Investment_expectations, Firm_size_impact",Market Forecast,RQ1 (Market demand),Yes
20,IDC SME Digital Adoption Report,Seller (Market Analysis),SME population survey,"Adoption_rates_by_function, Technology_barriers, Firm_size_impact, ROI_expectations",Market Analysis,RQ1 (Adoption barriers),Yes
21,OECD Digital Transformation of SMEs,Mixed (SME Adoption),OECD countries + emerging,"Digitalization_barriers, Technology_adoption, Business_function_priorities, Firm_size_impact",Policy Analysis + Survey,"RQ1, RQ2",Yes
22,OECD SME Digitalisation 2024 Survey,Mixed (SME Adoption),"1,000+ SMEs, 7 countries","Digital_readiness, Data_usage_percentage, Team_structure, Technology_adoption","Survey (1,000+ resp.)","RQ1, RQ2",Yes
23,UK SME Digital Adoption Taskforce Report,Seller (Policy Analysis),UK SME population,"Digital_intensity_score, SME_participation, Policy_impact, Business_outcomes",Policy Analysis,RQ1 (Adoption),Yes
24,Lakeside Software Application Performance,Seller (Enterprise IT),Enterprise IT data,"Application_behavior, Resource_usage, User_experience_metrics, Performance_impact",Enterprise Data,RQ2 (Performance→adoption),Yes
25,Whatfix Digital Transformation by Sector,Mixed (Digital Transformation),22 sectors analyzed,"Digital_readiness_by_sector, Technology_adoption_rates, Workforce_impact, Adoption_barriers",Comparative Analysis,RQ1 (Sector readiness),Yes
26,World Bank Enterprise Survey Database,Seller (Firm-level),"58,000+ firms, 82 countries","Sales, Labor, Capital, Materials, Email_adoption, Website_adoption, Export_status, Manager_experience, TFPR",Survey + Firm Records,RQ3 (Quasi-causal),Yes
27,World Bank Digital-Tech Adoption Paper,Seller (Econometric Analysis),Panel analysis (same paper),"Production_function_elasticities, TFPR_premium, Productivity_gains_pct, Endogeneity_handling",Econometric Analysis,RQ3 (TFPR evidence),Yes
28,World Bank API Business Indicators,Seller (Macro-economic),World Bank indicator database,"Country-level indicators, GDP, Technology_penetration, Business_environment_scores",API/Macro Data,RQ3 (Controls),Yes
29,NYC Open Data Portal,Seller (B2B Government),NYC business data,"Business_licensing, Permits, B2B_software_interactions, Government_adoption_patterns",Government Data,RQ3 (B2B context),Yes
30,Deloitte State of GenAI in Enterprise 2024,Seller (Enterprise Adoption),"2,800+ leaders","GenAI_adoption_rate, Function_penetration, ROI_expectations, Organizational_barriers",Leadership Survey,"RQ1, RQ3",Yes
31,McKinsey State of AI 2025,Seller (Enterprise Adoption),"1,993 participants, 105 nations","AI_adoption_by_function, GenAI_usage_rate, Value_realization, Scaling_challenges",Global Survey,"RQ1, RQ3",Yes
32,McKinsey AI in the Workplace 2025,Seller (Employee Adoption),"1,000+ employees, 4 countries","Employee_AI_skill_levels, Training_needs, Support_requirements, Adoption_trajectory",Employee Survey,"RQ1, RQ2",Yes
33,McKinsey Digital Maturity Analysis,Seller (Digital Maturity),Sector aggregates,"Digital_maturity_scores_by_sector, Technology_adoption_rates, Competitive_positioning",Industry Analysis,RQ1 (Sector trends),Yes
34,McKinsey Superagency Report 2025,Seller (AI Workplace),Survey respondents,"Gen_AI_support_needs, Workforce_impact_expectations, Skills_development_needs",Organizational Survey,"RQ1, RQ2",Yes
35,Airtable Statistics & Enterprise Adoption,Seller (SaaS Company),"166,000+ organizations","ARR, NDR, NRR, YoY_growth, Enterprise_customers, Feature_adoption_rate, Manual_reduction_pct",Company Metrics,"RQ2, RQ3",Yes
36,Userpilot Core Feature Adoption Benchmark,Seller (Product Analytics),181 companies aggregated,"Core_feature_adoption_rate, Secondary_features, Revenue_concentration, Industry_benchmarks",Analytics Aggregate,RQ2 (Adoption levels),Yes
37,Churnzero Customer Revenue Leadership Study,Seller (SaaS Benchmarks),Benchmark aggregate,"Feature_adoption_70pct_retention, Engagement_score, Churn_likelihood, CSM_effectiveness",Benchmark Report,RQ3 (Adoption→churn),Yes
38,Wudpecker SaaS Retention Benchmarks,Seller (SaaS Benchmarks),Benchmark aggregate,"Median_NRR, High_adoption_NRR, Retention_by_adoption_level, Churn_rate_by_cohort",Benchmark Report,RQ3 (Adoption→NRR),Yes
39,Vitally.io SaaS Churn Benchmarks,Seller (SaaS Benchmarks),Benchmark aggregate,"Churn_rate_by_company_stage, Retention_rate_trends, Annual_contract_value_impact",Benchmark Report,RQ3 (Churn trends),Yes
40,Sisense Dashboard Adoption Case Study,Mixed (UX & Adoption),Sisense customer data,"Customization_feature_adoption, Dashboard_adoption_rate, User_segmentation_impact",Case Study,RQ2 (UX→adoption),Yes
41,Mordor Intelligence B2B SaaS Market Report,Seller (Market Analysis),B2B SaaS landscape,"SaaS_market_size, CAGR, Segment_breakdown, CRM_share, ERP_CAGR",Market Analysis,"RQ1, RQ3",Yes
42,SaaS Industry Statistics (Cropink 2025),Seller (Industry Trends),80+ SaaS statistics,"SaaS_app_consolidation, Switching_trends, Integration_importance, NRR_benchmarks",Statistics Compilation,"RQ1, RQ3",Yes
43,SaaS Statistics (Vena Solutions 2025),Seller (Industry Trends),85+ SaaS statistics,"Feature_importance, Consolidation_trends, Adoption_by_company_size, Budget_allocation",Statistics Compilation,"RQ1, RQ3",Yes
44,SaaS Statistics (MADX Digital 2025),Seller (Industry Trends),80+ SaaS statistics,"SaaS_app_count, Tool_rationalization, Time_savings, Cost_savings",Statistics Compilation,RQ1 (Consolidation),Yes
45,Eleken UX Statistics Report,User (UX Research),Multiple sources,"Design_ROI, UX_investment_impact, Conversion_improvement_from_UX",Meta-analysis,RQ1 (UX importance),Yes
46,Forrester Digital UX Review Methodology,Seller (Analyst Methodology),Public methodology,"UX_heuristic_framework, Expert_evaluation_methodology, UX_assessment_criteria",Methodology Framework,"RQ1, RQ2",Yes
47,Zendesk Gartner Magic Quadrant CRM,User (Enterprise Software Review),Historical analysis,"CRM_market_evolution, UX_importance_in_selection, Vendor_positioning_changes",Historical Analysis,RQ1 (Market evolution),Yes
48,AppCues Consumerization Enterprise SaaS,Mixed (Consumerization),Industry analysis,"Consumer_UX_expectations, Enterprise_adoption_patterns, Purchasing_priority_shift",Industry Analysis,RQ1 (Consumerization),Yes
49,Anshad Ameenza B2B SaaS Consumerization,Mixed (Consumerization),Trend analysis,"Consumerization_trends, B2B_SaaS_expectations, UX_as_differentiator",Trend Analysis,RQ1 (Consumerization),Yes
50,Pendo Feature Adoption Best Practices,Mixed (Feature Adoption),Case studies,"Feature_adoption_best_practices, Onboarding_impact, Contextual_help_effectiveness",Best Practices Guide,RQ2 (Adoption strategies),Yes
51,WhatFix Feature Adoption 2025,Mixed (Feature Adoption),Case studies,"Feature_adoption_strategies, Time_to_value, User_segmentation_impact",Best Practices Guide,RQ2 (Adoption strategies),Yes
52,Custify Future of SaaS Trends,Seller (SaaS Trends),Trend analysis,"SaaS_consolidation, Feature_prioritization, User_experience_importance",Trend Analysis,"RQ1, RQ3",Yes
53,Airtable 2024 Product Insights Report,Seller (Company Performance),Product team survey,"Feature_usage_patterns, Team_adoption_breadth, Use_case_maturity, Product_expansion",Company Report,"RQ2, RQ3",Yes
54,AWS Sisense Analytics Partnership,Seller (Technology Partnership),Partnership case study,"Analytics_performance, User_experience_improvements, Enterprise_adoption_rates",Case Study,RQ2 (Performance),Yes
55,Kimola Capterra Reviews Analysis,Seller (Review Analysis),Review dataset (2M+),"Competitive_review_analysis, UX_as_selection_factor, Decision_driver_weighting",Dataset Analysis,"RQ1, RQ2",Yes
56,CloudBlue B2B SaaS Buyer Behavior,Seller (B2B Buyer Behavior),B2B buyer survey,"Buyer_persona_data, Purchase_decision_criteria, Vendor_evaluation_timeline",Survey Research,RQ1 (Buyer criteria),Yes
57,Forrester UX Blog & Reports,Seller (UX Research),Continuous blog,"Continuous_UX_research, Enterprise_software_trends, User_experience_evolution",Blog Research,RQ1 (UX trends),Yes
58,European Commission SME Digital Intensity,Mixed (SME Digital Policy),EU SME policy data,"SME_digital_intensity, EU_average_benchmarking, Growth_trajectories",Policy Data,RQ1 (SME context),Yes
